baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id
1.58867513335034	-2.50712199402681	0.498836049038866	-5.02594389250219	5.00962351568106e-07	7.78375360206017e-07	Potri.001G001100.v3.1
3.41014320404717	-3.87633915335101	0.261406930858937	-14.8287543127263	9.54885068908003e-50	2.42184321784543e-49	Potri.001G001900.v3.1
1210.22118246915	-3.19367210293635	0.0448469518049011	-71.2126905933289	0	0	Potri.001G002300.v3.1
4.48195312152873	-1.72736304832826	0.415523019307517	-4.15708148060479	3.22339049530304e-05	4.77613260457561e-05	Potri.001G002800.v3.1
58.1566147428795	-5.31382541345138	0.177654017736707	-29.9110905632698	1.41181142501104e-196	7.84877900955753e-196	Potri.001G003300.v3.1
461.849977206741	-2.30622085054556	0.0552231627910168	-41.7618393077752	0	0	Potri.001G004000.v3.1
39.149241993362	-7.5640074785728	0.172250742028689	-43.9127715183542	0	0	Potri.001G004700.v3.1
9.77336437368602	-5.02722129898879	0.426993260777887	-11.7735378067333	5.3435619644208e-32	1.16990975746198e-31	Potri.001G005700.v3.1
586.199266920746	2.377008596103	0.0798880850931831	29.7542317271769	1.5287740134688e-194	8.42278759013678e-194	Potri.001G005900.v3.1
41.3798502859853	-1.5111274004477	0.137951182722818	-10.9540735397969	6.35250534570221e-28	1.33450926449758e-27	Potri.001G006000.v3.1
7.46462872289784	-1.95174670774021	0.325847032200011	-5.98976364634247	2.10146209879371e-09	3.43764752724487e-09	Potri.001G006200.v3.1
16.0740592024097	-4.16960605462569	0.23177698987341	-17.9897325308393	2.34486883553897e-72	6.9810056275638e-72	Potri.001G006500.v3.1
13.3341525856748	5.65394027912312	0.29886241811306	18.9182042855058	8.07594515661631e-80	2.51607569164043e-79	Potri.001G007400.v3.1
3261.4681433588	1.4783347933032	0.0480457650850076	30.7693048635519	6.74820152811427e-208	3.93830093719613e-207	Potri.001G008400.v3.1
5.940271263944	-5.14286044845766	0.551548800419775	-9.32439784937164	1.11615555169073e-20	2.16070074719584e-20	Potri.001G008900.v3.1
3072.08814296799	-8.66925810554515	0.143490845056483	-60.416802912636	0	0	Potri.001G009100.v3.1
12.0818650235456	-5.44726926042686	0.232099199842152	-23.4695736311521	8.34476695354605e-122	3.27676012537106e-121	Potri.001G009200.v3.1
